"teamid","yearid","w","wswin","playoffs","attendance"
"SFN",1968,88,"N","N",837220
"PHI",1968,76,"N","N",664546
"SFN",1967,91,"N","N",1242480
"PHI",1967,82,"N","N",828888
"SFN",1966,93,"N","N",1657192
"PHI",1966,87,"N","N",1108201
"SFN",1965,95,"N","N",1546075
"PHI",1965,85,"N","N",1166376
"SFN",1964,90,"N","N",1504364
"PHI",1964,92,"N","N",1425891
"SFN",1963,88,"N","N",1571306
"PHI",1963,87,"N","N",907141
"SFN",1962,103,"N","N",1592594
"PHI",1962,81,"N","N",762034
"PHI",1961,47,"N","N",590039
"SFN",1961,85,"N","N",1390679
"SFN",1960,79,"N","N",1795356
"PHI",1960,59,"N","N",862205
"SFN",1959,83,"N","N",1422130
"PHI",1959,64,"N","N",802815
"PHI",1958,69,"N","N",931110
"SFN",1958,80,"N","N",1272625
"PHI",1957,77,"N","N",1146230
"PHI",1956,71,"N","N",934798
"PHI",1955,77,"N","N",922886
"PHI",1954,75,"N","N",738991
"PHI",1953,83,"N","N",853644
"PHI",1952,87,"N","N",755417
"PHI",1951,73,"N","N",937658
"PHI",1950,91,"N","N",1217035
"PHI",1949,81,"N","N",819698
"PHI",1948,66,"N","N",767429
"PHI",1947,62,"N","N",907332
"PHI",1946,69,"N","N",1045247
"PHI",1945,46,"N","N",285057
"PHI",1944,61,"N","N",369586
"PHI",1943,64,"N","N",466975
"PHI",1942,42,"N","N",230183
"PHI",1941,43,"N","N",231401
"PHI",1940,50,"N","N",207177
"PHI",1939,45,"N","N",277973
"PHI",1938,45,"N","N",166111
"PHI",1937,61,"N","N",212790
"PHI",1936,54,"N","N",249219
"PHI",1935,64,"N","N",205470
"PHI",1934,56,"N","N",169885
"PHI",1933,60,"N","N",156421
"PHI",1932,78,"N","N",268914
"PHI",1931,66,"N","N",284849
"PHI",1930,52,"N","N",299007
"PHI",1929,71,"N","N",281200
"PHI",1928,43,"N","N",182168
"PHI",1927,51,"N","N",305420
"PHI",1926,58,"N","N",240600
"PHI",1925,68,"N","N",304905
"PHI",1924,55,"N","N",299818
"PHI",1923,50,"N","N",228168
"PHI",1922,57,"N","N",232471
"PHI",1921,51,"N","N",273961
"PHI",1920,62,"N","N",330998
"PHI",1919,47,"N","N",240424
"PHI",1918,55,"N","N",122266
"PHI",1917,87,"N","N",354428
"PHI",1916,91,"N","N",515365
"PHI",1915,90,"N","N",449898
"PHI",1914,74,"N","N",138474
"PHI",1913,88,"N","N",470000
"PHI",1912,73,"N","N",250000
"PHI",1911,79,"N","N",416000
"PHI",1910,78,"N","N",296597
"PHI",1909,74,"N","N",303177
"PHI",1908,83,"N","N",420660
"PHI",1907,83,"N","N",341216
"PHI",1906,71,"N","N",294680
"PHI",1905,83,"N","N",317932
"PHI",1904,52,NULL,"N",140771
"PHI",1903,49,"N","N",151729
"PHI",1902,56,NULL,"N",112066
"PHI",1901,83,NULL,"N",234937
"PHI",1900,75,NULL,"N",301913
"PHI",1899,94,NULL,"N",388933
"PHI",1898,78,NULL,"N",265414
"PHI",1897,55,NULL,"N",290027
"PHI",1896,62,NULL,"N",357025
"PHI",1895,78,NULL,"N",474971
"PHI",1894,71,NULL,"N",352773
"PHI",1893,72,NULL,"N",293019
"PHI",1892,87,NULL,"N",193731
"PHI",1891,68,NULL,"N",217282
"PHI",1890,78,"N","N",148366
"PHI",1889,63,"N","N",NULL
"PHI",1888,69,"N","N",NULL
"PHI",1887,75,"N","N",NULL
"PHI",1886,71,"N","N",NULL
"PHI",1885,56,"N","N",NULL
"PHI",1884,39,"N","N",NULL
"PHI",1883,17,NULL,"N",NULL
